cod_prod_lj;cod_loja;cod_produto;ref_varejista;dia;semana;mes;decr_mes;trimestre;ano;periodo;periodo2;valor;quantidade;indicador3
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;44.34;6;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;133.98;2;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;64.99;1;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;64.99;1;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;200.97;3;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;64.99;1;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;66.99;1;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;133.98;2;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;99.82;8;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;174.56;14;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;139.89;11;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;73.74;6;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;102.42;8;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;325.04;26;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;237.01;19;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;292.77;23;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;112.11;9;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;187.85;15;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;138.19;11;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;191.35;15;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;256.8;20;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;201.14;16;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;113.41;9;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;191.85;15;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;125.9;10;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;74.94;6;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;197.64;16;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;62.95;5;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;150.48;12;
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;100.32;8;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;22.9;1;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;87.39;11;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;62.92;8;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;110.95;5;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;44.98;2;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;43.86;2;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;205.43;7;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;183.57;23;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;207.7;12;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;81.47;3;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;177.01;22;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;139.81;19;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;208.25;11;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;26.99;1;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;181.07;24;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;213.44;27;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;88.46;4;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;21.99;1;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;109.09;5;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;104.08;4;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;91.1;11;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;70.96;4;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;27.49;1;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;48.93;7;
